,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,MonitoringLocationIdentifier,ProjectIdentifier,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultValueTypeName,PrecisionValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName,LeadValue,LeadValue_ug_l,MonitoringLocationName,MonitoringLocationTypeName,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode,Month,geometry
10,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606168-MET-SW,Sample-Routine,Water,2018-01-02,21IOWA_WQX-10630002,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.05,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.05,0.05,Cedar Creek near Bussey,River/Stream,41.21907,-92.907905,19.0,125.0,1,POINT (-92.907905 41.21907)
11,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09665Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-NTP-SPR,STREAM,GRAB,Grab Sample  using water sampler,Lead,2.6,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,2.6,2.6,Northern Treatment Plant Effluent,Facility Municipal Sewage (POTW),40.00148,-104.825378,8.0,123.0,1,POINT (-104.825378 40.00148)
12,USGS-CT,USGS Connecticut Water Science Center,nwisma.01.01800244,Sample-Routine,Water,2018-01-03,USGS-01125100,,30,Single vertical,Lead,0.199,ug/l,Accepted,Actual,,PLM43,USGS,"Metals, wf, ICP-MS",,,,NWIS,0.199,0.199,"FRENCH RIVER AT NORTH GROSVENORDALE, CT",Stream,41.978463899999994,-71.9005139,9.0,15.0,1,POINT (-71.90051390000001 41.97846389999999)
13,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606631-MET-SW,Sample-Routine,Water,2018-01-03,21IOWA_WQX-10220001,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.05,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.05,0.05,Turkey River near Garber,River/Stream,42.739546999999995,-91.261976,19.0,43.0,1,POINT (-91.261976 42.73954699999999)
14,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606630-MET-SW,Sample-Routine,Water,2018-01-03,21IOWA_WQX-10220002,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.05,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.05,0.05,Volga River near Elkport,River/Stream,42.749728999999995,-91.27678,19.0,43.0,1,POINT (-91.27678 42.74972899999999)
15,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606591-MET-SW,Sample-Routine,Water,2018-01-03,21IOWA_WQX-10250001,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.05,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.05,0.05,South Raccoon River near Redfield,River/Stream,41.57974,-94.182917,19.0,49.0,1,POINT (-94.182917 41.57974)
16,USGS-CT,USGS Connecticut Water Science Center,nwisma.01.01800243,Sample-Routine,Water,2018-01-03,USGS-01125520,,30,Single vertical,Lead,0.205,ug/l,Accepted,Actual,,PLM43,USGS,"Metals, wf, ICP-MS",,,,NWIS,0.205,0.205,QUINEBAUG RIVER AT COTTON BRIDGE ROAD NR POMFRET,Stream,41.8584315,-71.9239617,9.0,15.0,1,POINT (-71.92396170000001 41.8584315)
17,21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-20183021004-20180103_S-ROUTINE,Sample-Routine,Water,2018-01-03,21COL001_WQX-5789,SWMN,STREAM_1_WQX,WQCD Stream Sampling Procedure,Lead,0.12,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Lower Reporting Limit,0.05,ug/l,STORET,0.12,0.12,KENOSHA CREEK EAST OF FR 126C,River/Stream,39.416942999999996,-105.746136,8.0,93.0,1,POINT (-105.746136 39.416943)
18,TESTGCSWQX,testGCSWQX,TESTGCSWQX-fy90,Sample-Routine,Water,2018-01-03,TESTGCSWQX-Willow1,Albury1,sc001,my equipment,Lead,15,ug/l,Final,Actual,,239.1_M,USEPA,239.1 M ~ Lead by FLAA,,,,STORET,15.0,15.0,Willow Creek Test Site,River/Stream,30.061284999999998,-95.593179,48.0,201.0,1,POINT (-95.59317900000001 30.061285)
20,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09647Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-NFE,STREAM,GRAB,Grab Sample  using water sampler,Lead,0.5,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,0.5,0.5,Metro Wastewater Reclamation District North Final Effluent - CO-0026638,Facility Municipal Sewage (POTW),39.812806,-104.954333,8.0,1.0,1,POINT (-104.954333 39.812806)
21,AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-AB05600.CHEM,Sample-Routine,Other,2018-01-03,AZDEQ_SW-2169,9730,Unknown,Unknown,Lead,.011,mg/l,Final,Actual,,EPA 200.8,AZDEQ_SW,EPA 200.8,Laboratory Reporting Level,.0005,mg/l,STORET,0.011,11.0,106662,River/Stream,34.444166700000004,-112.4585,4.0,25.0,1,POINT (-112.4585 34.4441667)
22,UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-SLCO010318-4992560-0103-4-C,Sample-Routine,Water,2018-01-03,UTAHDWQ_WQX-4992560,306,DWQ-001,Water Grab Sampling,Lead,0.226,ug/l,Accepted,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Lower Reporting Limit,0.10,ug/l,STORET,0.226,0.226,MILL CK SW OF NIBLEY PARK,River/Stream,40.70453,-111.87858999999999,49.0,35.0,1,POINT (-111.87859 40.70453)
25,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09646Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-SC,STREAM,GRAB,Grab Sample  using water sampler,Lead,1.2,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,1.2,1.2,Sand Creek on Burlington Ditch Flume,River/Stream,39.81006,-104.950667,8.0,1.0,1,POINT (-104.950667 39.81006)
26,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606628-MET-SW,Sample-Routine,Water,2018-01-03,21IOWA_WQX-10030001,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.07,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.07,0.07,Upper Iowa River near Dorchester,River/Stream,43.421498,-91.50891700000001,19.0,5.0,1,POINT (-91.50891700000001 43.421498)
27,UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-SLCO010318-4992170-0103-4-C,Sample-Routine,Water,2018-01-03,UTAHDWQ_WQX-4992170,306,DWQ-001,Water Grab Sampling,Lead,0.146,ug/l,Accepted,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Lower Reporting Limit,0.10,ug/l,STORET,0.146,0.146,MOUNTAIN DELL CK @ U65 XING BL LIL DELL RES,River/Stream,40.761895491,-111.70826214200001,49.0,35.0,1,POINT (-111.708262142 40.761895491)
28,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09654Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-SP-124,STREAM,GRAB,Grab Sample  using water sampler,Lead,0.9,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,0.9,0.9,South Platte River at 124th Avenue,River/Stream,39.922777,-104.86746000000001,8.0,1.0,1,POINT (-104.86746 39.922777)
29,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09655Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-SP-160,STREAM,GRAB,Grab Sample  using water sampler,Lead,0.8,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,0.8,0.8,South Platte River at 160th Avenue,River/Stream,39.986955,-104.832293,8.0,1.0,1,POINT (-104.832293 39.986955)
31,1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-18-A2,Sample-Routine,Water,2018-01-03,1119USBR_WQX-GAR101,WQDATA,GRAB,Grab,Lead,3.40,ug/l,Final,Actual,,200.12,USEPA,Elements in Water by Temperature GFAA,Method Detection Level,2.0,ug/l,STORET,3.4,3.4,Payette River below Cascade Dam at Highway55 Bridge,River/Stream,44.5239444,-116.04333329999999,16.0,85.0,1,POINT (-116.0433333 44.5239444)
32,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09649Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-SP-64,STREAM,GRAB,Grab Sample  using water sampler,Lead,0.5,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,0.5,0.5,South Platte River at 64th Avenue,River/Stream,39.812185,-104.958525,8.0,1.0,1,POINT (-104.958525 39.812185)
35,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09652Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-SP-88,STREAM,GRAB,Grab Sample  using water sampler,Lead,1,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,1.0,1.0,South Platte River at 88th Avenue,River/Stream,39.85607,-104.93790700000001,8.0,1.0,1,POINT (-104.937907 39.85607)
36,UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-SLCO010318-4992630-0103-4-C,Sample-Routine,Water,2018-01-03,UTAHDWQ_WQX-4992630,306,DWQ-001,Water Grab Sampling,Lead,0.191,ug/l,Accepted,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Lower Reporting Limit,0.10,ug/l,STORET,0.191,0.191,MILL CK AT MOUTH OF CANYON,River/Stream,40.689114056,-111.787707253,49.0,35.0,1,POINT (-111.787707253 40.689114056)
37,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09648Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-SFE,STREAM,GRAB,Grab Sample  using water sampler,Lead,0.3,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,0.3,0.3,Metro Wastewater Reclamation District South Final Effluent - CO-0026638,Facility Municipal Sewage (POTW),39.812771999999995,-104.95443999999999,8.0,1.0,1,POINT (-104.95444 39.812772)
38,USGS-CT,USGS Connecticut Water Science Center,nwisma.01.01800245,Sample-Routine,Water,2018-01-03,USGS-01124000,,30,Single vertical,Lead,0.202,ug/l,Accepted,Actual,,PLM43,USGS,"Metals, wf, ICP-MS",,,,NWIS,0.202,0.202,"QUINEBAUG RIVER AT QUINEBAUG, CT",Stream,42.0223189,-71.95562890000001,9.0,15.0,1,POINT (-71.95562890000001 42.0223189)
39,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09651Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-SP-CC,STREAM,GRAB,Grab Sample  using water sampler,Lead,0.5,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,0.5,0.5,South Platte River 100 yards upstream confluence Clear Crk.,River/Stream,39.827,-104.94858300000001,8.0,1.0,1,POINT (-104.948583 39.827)
40,1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-18-A3,Sample-Routine,Water,2018-01-03,1119USBR_WQX-BLA101,WQDATA,GRAB,Grab,Lead,11.93,ug/l,Final,Actual,,200.12,USEPA,Elements in Water by Temperature GFAA,Method Detection Level,2.0,ug/l,STORET,11.93,11.93,Payette River at Montour Bridge,River/Stream,43.9323,-116.3356,16.0,45.0,1,POINT (-116.3356 43.9323)
41,UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-SLCO010318-4992255-0103-4-C,Sample-Routine,Water,2018-01-03,UTAHDWQ_WQX-4992255,306,DWQ-001,Water Grab Sampling,Lead,0.139,ug/l,Accepted,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Lower Reporting Limit,0.10,ug/l,STORET,0.139,0.139,PARLEYS CK AT HIDDEN HOLLOW,River/Stream,40.72433591,-111.857463334,49.0,35.0,1,POINT (-111.857463334 40.72433591)
42,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09653Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-SP-104,STREAM,GRAB,Grab Sample  using water sampler,Lead,0.9,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,0.9,0.9,South Platte River at 104th Avenue,River/Stream,39.885306,-104.901556,8.0,1.0,1,POINT (-104.901556 39.885306)
44,UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-SLCO010318-4992087-0103-4-C,Sample-Routine,Water,2018-01-03,UTAHDWQ_WQX-4992087,306,DWQ-001,Water Grab Sampling,Lead,0.176,ug/l,Accepted,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Lower Reporting Limit,0.10,ug/l,STORET,0.176,0.176,Red Butte Creek @ County Gage,River/Stream,40.747178033000004,-111.844490223,49.0,35.0,1,POINT (-111.844490223 40.747178033)
45,CORIVWCH_WQX,The Rivers of Colorado Water Watch Network (RiverWatch),CORIVWCH_WQX-785.129M,Sample-Routine,Water,2018-01-03,CORIVWCH_WQX-785,1,SM 1060B,SM 1060B,Lead,5,ug/l,Validated,Actual,,200.15,USEPA,Metals in Water by Nebulization and ICP-AES,Lower Reporting Limit,3,ug/l,STORET,5.0,5.0,Fourmile Cr - Bershenyi Ranch,River/Stream,39.4872,-107.3152,8.0,45.0,1,POINT (-107.3152 39.4872)
46,21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-20183030004-20180103_S-ROUTINE,Sample-Routine,Water,2018-01-03,21COL001_WQX-5957B,SWMN,STREAM_1_WQX,WQCD Stream Sampling Procedure,Lead,0.045,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Lower Reporting Limit,0.05,ug/l,STORET,0.045,0.045,MIDDLE FORK SOUTH PLATTE R BLW DOLLY VARDEN GULCH ABV TOWN OF ALMA,River/Stream,39.294897,-106.065367,8.0,93.0,1,POINT (-106.065367 39.294897)
47,CORIVWCH_WQX,The Rivers of Colorado Water Watch Network (RiverWatch),CORIVWCH_WQX-789.059M,Sample-Routine,Water,2018-01-03,CORIVWCH_WQX-789,1,SM 1060B,SM 1060B,Lead,4,ug/l,Validated,Actual,,200.15,USEPA,Metals in Water by Nebulization and ICP-AES,Lower Reporting Limit,3,ug/l,STORET,4.0,4.0,Fourmile Cr - Below Sunlight,River/Stream,39.4009,-107.323,8.0,45.0,1,POINT (-107.323 39.4009)
48,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09663Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-SP-RD8,STREAM,GRAB,Grab Sample  using water sampler,Lead,0.3,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,0.3,0.3,South Platte River at County Road 8,River/Stream,40.043847,-104.82373299999999,8.0,123.0,1,POINT (-104.823733 40.043847)
49,UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-SLCO010318-4991938-0103-4-C,Sample-Routine,Water,2018-01-03,UTAHDWQ_WQX-4991938,306,DWQ-001,Water Grab Sampling,Lead,0.192,ug/l,Accepted,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Lower Reporting Limit,0.10,ug/l,STORET,0.192,0.192,City Creek at Memory Grove CC_02.62,River/Stream,40.781336699,-111.884363219,49.0,35.0,1,POINT (-111.884363219 40.781336699)
50,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09650Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-CC,STREAM,GRAB,Grab Sample  using water sampler,Lead,0.4,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,0.4,0.4,Clear Creek at York Street,River/Stream,39.827894,-104.95911000000001,8.0,1.0,1,POINT (-104.95911 39.827894)
51,USGS-ND,USGS North Dakota Water Science Center,nwisnd.01.01800168,Sample-Routine,Water,2018-01-03,USGS-05120000,,40,Multiple verticals,Lead,0.11,ug/l,Accepted,Actual,,PLM78,USGS,"Metals, wu, 2% corr, ICP-MS",,,,NWIS,0.11,0.11,"SOURIS RIVER NR VERENDRYE, ND",Stream,48.159729299999995,-100.72958630000001,38.0,49.0,1,POINT (-100.7295863 48.1597293)
52,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09658Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-SP-RD28,STREAM,GRAB,Grab Sample  using water sampler,Lead,0.3,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,0.3,0.3,South Platte River at Weld County Road 28,River/Stream,40.188261,-104.829437,8.0,123.0,1,POINT (-104.829437 40.188261)
53,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606588-MET-SW,Sample-Routine,Water,2018-01-03,21IOWA_WQX-10910003,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.09,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.09,0.09,South River near Ackworth,River/Stream,41.372294000000004,-93.430723,19.0,181.0,1,POINT (-93.430723 41.372294)
54,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09659Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-SP-RD18,STREAM,GRAB,Grab Sample  using water sampler,Lead,0.3,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,0.3,0.3,South Platte River At Weld County Road 18,River/Stream,40.116061,-104.818253,8.0,123.0,1,POINT (-104.818253 40.116061)
55,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606589-MET-SW,Sample-Routine,Water,2018-01-03,21IOWA_WQX-10910001,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.07,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.07,0.07,Middle River near Indianola,River/Stream,41.424689,-93.587285,19.0,181.0,1,POINT (-93.58728499999999 41.424689)
56,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606593-MET-SW,Sample-Routine,Water,2018-01-03,21IOWA_WQX-10770001,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.22,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.22,0.22,Beaver Creek near Grimes,River/Stream,41.688253,-93.7355,19.0,153.0,1,POINT (-93.7355 41.688253)
57,UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-SLCO010318-4992162-0103-4-C,Sample-Routine,Water,2018-01-03,UTAHDWQ_WQX-4992162,306,DWQ-001,Water Grab Sampling,Lead,0.154,ug/l,Accepted,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Lower Reporting Limit,0.10,ug/l,STORET,0.154,0.154,Emigration Ck 0.1 mile AB road switchback xing at USGS gage,River/Stream,40.787034000000006,-111.71631599999999,49.0,35.0,1,POINT (-111.716316 40.78703400000001)
58,21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-606590-MET-SW,Sample-Routine,Water,2018-01-03,21IOWA_WQX-10910002,AMBIENT,UHL001,Standard UHL Sampling Procedure - Grab Samples,Lead,0.07,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Method Detection Level,0.05,ug/l,STORET,0.07,0.07,North River near Norwalk,River/Stream,41.457806,-93.65502099999999,19.0,181.0,1,POINT (-93.65502099999999 41.457806)
59,MWRD_WQX,Metro Waste Water Reclamation District,MWRD_WQX-AE09660Sample-Routine,Sample-Routine,Water,2018-01-03,MWRD_WQX-SP-FTL,STREAM,GRAB,Grab Sample  using water sampler,Lead,1.1,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Method Detection Level,0.2,ug/l,STORET,1.1,1.1,South Platte River at Colorado Highway 52 in Fort Lupton,River/Stream,40.080078,-104.821383,8.0,123.0,1,POINT (-104.821383 40.080078)
